A g4 t10 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t11 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t12 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t13 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t14 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t15 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t16 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t17 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g4 t18 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t19 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t20 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t21 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t22 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g4 t23 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g4 t24 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t25 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g4 t26 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t27 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g4 t28 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g4 t29 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g4 t30 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:6
A g4 t31 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:6
A g5 t0 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:0
A g5 t1 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:0
A g5 t2 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g5 t3 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g5 t4 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t5 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t6 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t7 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t8 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g5 t9 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:1
A g5 t10 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t11 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t12 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t13 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t14 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
